,cumulative reward top 0,clicks hr top 0,clicks ndcg top 0,purchase hr top 0,purchase ndgc top 0,cumulative reward top 1,clicks hr top 1,clicks ndcg top 1,purchase hr top 1,purchase ndgc top 1,cumulative reward top 2,clicks hr top 2,clicks ndcg top 2,purchase hr top 2,purchase ndgc top 2,cumulative reward top 3,clicks hr top 3,clicks ndcg top 3,purchase hr top 3,purchase ndgc top 3
0,115.0,0.0,0.0,0.017187266477357646,[[0.01228945]],167.0,0.0,0.0,0.02495890001494545,[[0.01478291]],199.0,0.0,0.0,0.0297414437303841,[[0.01604626]],225.0,0.0,0.0,0.033627260499178004,[[0.01696434]]
1,184.0,0.0,0.0,0.02749962636377223,[[0.02033538]],240.0,0.0,0.0,0.03586907786578987,[[0.02301004]],271.0,0.0,0.0,0.040502167090121055,[[0.02423468]],289.0,0.0,0.0,0.043192347930055296,[[0.02486982]]
2,162.0,0.0,0.0,0.02421162755940816,[[0.01762155]],219.0,0.0,0.0,0.032730533552533254,[[0.02041643]],263.0,0.0,0.0,0.0393065311612614,[[0.02215726]],291.0,0.0,0.0,0.04349125691227022,[[0.02315364]]
3,144.0,0.0,0.0,0.02152144671947392,[[0.01535778]],180.0,0.0,0.0,0.0269018083993424,[[0.01706393]],208.0,0.0,0.0,0.031086534150351217,[[0.01816191]],237.0,0.0,0.0,0.035420714392467495,[[0.01918505]]
4,107.0,0.0,0.0,0.015991630548497983,[[0.01181054]],163.0,0.0,0.0,0.02436108205051562,[[0.0144788]],186.0,0.0,0.0,0.027798535345987148,[[0.01538133]],206.0,0.0,0.0,0.030787625168136303,[[0.01608997]]
5,94.0,0.0,0.0,0.014048722164101031,[[0.01000133]],132.0,0.0,0.0,0.019727992826184426,[[0.0118095]],164.0,0.0,0.0,0.024510536541623076,[[0.01308049]],185.0,0.0,0.0,0.02764908085487969,[[0.01382258]]
6,89.0,0.0,0.0,0.013301449708563742,[[0.00942705]],114.0,0.0,0.0,0.017037811986250186,[[0.01062797]],134.0,0.0,0.0,0.020026901808399344,[[0.01141704]],157.0,0.0,0.0,0.023464355103870873,[[0.01222428]]
7,81.0,0.0,0.0,0.01210581377970408,[[0.00873593]],123.0,0.0,0.0,0.018382902406217306,[[0.01079438]],145.0,0.0,0.0,0.021670901210581378,[[0.01165372]],162.0,0.0,0.0,0.02421162755940816,[[0.01225399]]
