,cumulative reward top 0,clicks hr top 0,clicks ndcg top 0,purchase hr top 0,purchase ndgc top 0,cumulative reward top 1,clicks hr top 1,clicks ndcg top 1,purchase hr top 1,purchase ndgc top 1,cumulative reward top 2,clicks hr top 2,clicks ndcg top 2,purchase hr top 2,purchase ndgc top 2,cumulative reward top 3,clicks hr top 3,clicks ndcg top 3,purchase hr top 3,purchase ndgc top 3
0,0.8,3.381062667996551e-05,[[1.92690317e-05]],0.0,0.0,2.4,0.00010143188003989655,[[4.06584249e-05]],0.0,0.0,3.0000000000000004,0.00012678985004987067,[[4.75941291e-05]],0.0,0.0,6.0000000000000036,0.00021131641674978447,[[6.7518268e-05]],0.000189000189000189,[[4.3730526e-05]]
1,5588.999999998083,0.15662772809494024,[[0.12345141]],0.35588735588735587,[[0.30161582]],6519.39999999745,0.18732777712034893,[[0.1333882]],0.39444339444339444,[[0.31412947]],7035.199999997094,0.20473179720386117,[[0.1379916]],0.4140994140994141,[[0.31934322]],7429.399999996816,0.21826450053251736,[[0.14118679]],0.4280854280854281,[[0.32263535]]
2,7347.399999996987,0.20896657819552686,[[0.16258794]],0.4541674541674542,[[0.37871997]],8513.99999999721,0.24825452639764678,[[0.17529365]],0.498960498960499,[[0.39329735]],9183.99999999873,0.2711189626899735,[[0.18134301]],0.5233415233415234,[[0.39977001]],9641.39999999993,0.2869845992595473,[[0.18509385]],0.5388395388395388,[[0.40342919]]
3,7711.199999996722,0.2218484269605937,[[0.17160716]],0.4653184653184653,[[0.38392874]],8956.799999998153,0.2641370682805606,[[0.18528587]],0.5116235116235116,[[0.39896331]],9671.800000000017,0.28877656247358546,[[0.19180761]],0.5365715365715366,[[0.40558105]],10170.400000001267,0.30596081348367793,[[0.19586831]],0.553959553959554,[[0.40968811]]
4,7486.399999996792,0.2190252396328166,[[0.17060952]],0.4354564354564355,[[0.366278]],8802.999999997906,0.26169425050293305,[[0.1844312]],0.4934794934794935,[[0.38495923]],9515.399999999654,0.2857167007590486,[[0.19078698]],0.5206955206955207,[[0.39216103]],10016.40000000087,0.30249522424898145,[[0.19475298]],0.5403515403515403,[[0.39679652]]
5,7074.599999997077,0.20483322908390106,[[0.15876528]],0.42109242109242107,[[0.34806693]],8339.799999996714,0.24668233225702837,[[0.17233443]],0.47306747306747304,[[0.36489945]],9048.799999998399,0.2704765607830541,[[0.17863651]],0.5006615006615006,[[0.37221151]],9546.59999999972,0.2873311581830169,[[0.18261857]],0.5193725193725194,[[0.37662496]]
6,6871.39999999719,0.2005984480922354,[[0.154659]],0.4016254016254016,[[0.33109653]],8197.39999999632,0.24239683532534276,[[0.16820586]],0.4653184653184653,[[0.35192008]],8942.19999999812,0.26728145656179736,[[0.17479429]],0.49480249480249483,[[0.35978206]],9455.19999999948,0.2847784558686795,[[0.17892934]],0.5135135135135135,[[0.36419549]]
7,6792.399999997231,0.19768228154108836,[[0.15154128]],0.39973539973539973,[[0.32585931]],8091.199999996355,0.2401061653677751,[[0.16528354]],0.45549045549045547,[[0.34387557]],8796.199999997869,0.2635200243436512,[[0.17149284]],0.48402948402948404,[[0.35141031]],9312.199999999124,0.2805943908170338,[[0.17552826]],0.5051975051975052,[[0.35640739]]
8,6724.599999997285,0.19553530674691055,[[0.14943053]],0.3965223965223965,[[0.3212]],8005.799999996399,0.2376379896201376,[[0.16306776]],0.45038745038745037,[[0.33863081]],8681.399999997586,0.26048552059912433,[[0.16911536]],0.4759024759024759,[[0.3453828]],9208.799999998804,0.2777458455192467,[[0.17319319]],0.4983934983934984,[[0.35066998]]
9,6610.7999999973445,0.19266985613578347,[[0.14750818]],0.38782838782838785,[[0.31406941]],7873.999999996488,0.23342011394181192,[[0.1606931]],0.44433944433944433,[[0.3323901]],8575.79999999726,0.2571636265278177,[[0.16697419]],0.4707994707994708,[[0.33939089]],9103.399999998546,0.27443240410461006,[[0.17105506]],0.4932904932904933,[[0.34469335]]
