,cumulative reward top 0,clicks hr top 0,clicks ndcg top 0,purchase hr top 0,purchase ndgc top 0,cumulative reward top 1,clicks hr top 1,clicks ndcg top 1,purchase hr top 1,purchase ndgc top 1,cumulative reward top 2,clicks hr top 2,clicks ndcg top 2,purchase hr top 2,purchase ndgc top 2,cumulative reward top 3,clicks hr top 3,clicks ndcg top 3,purchase hr top 3,purchase ndgc top 3
0,536.0,0.0,0.0,0.012862044969164687,[[0.00931878]],719.0,0.0,0.0,0.017253377486622035,[[0.01073338]],869.0,0.0,0.0,0.020852830369783793,[[0.01168134]],997.0,0.0,0.0,0.023924363496748494,[[0.01240387]]
1,747.0,0.0,0.0,0.017925275358145563,[[0.01330673]],971.0,0.0,0.0,0.023300458330333788,[[0.01504341]],1110.0,0.0,0.0,0.02663595133539702,[[0.01592642]],1240.0,0.0,0.0,0.029755477167470543,[[0.01666221]]
2,715.0,0.0,0.0,0.017157392076404387,[[0.01220063]],941.0,0.0,0.0,0.022580567753701437,[[0.0139549]],1120.0,0.0,0.0,0.02687591486094114,[[0.01509609]],1228.0,0.0,0.0,0.029467520936817603,[[0.01570764]]
3,617.0,0.0,0.0,0.014805749526072037,[[0.0106427]],847.0,0.0,0.0,0.020324910613586735,[[0.01241432]],1011.0,0.0,0.0,0.02426031243251026,[[0.01345286]],1135.0,0.0,0.0,0.027235860149257312,[[0.01415366]]
4,590.0,0.0,0.0,0.01415784800710292,[[0.00990525]],793.0,0.0,0.0,0.0190291075756485,[[0.0114643]],922.0,0.0,0.0,0.022124637055167616,[[0.01227963]],1063.0,0.0,0.0,0.025508122765339668,[[0.01307805]]
5,527.0,0.0,0.0,0.012646077796174982,[[0.00894514]],742.0,0.0,0.0,0.017805293595373504,[[0.0106045]],896.0,0.0,0.0,0.02150073188875291,[[0.01157882]],1009.0,0.0,0.0,0.024212319727401434,[[0.01221536]]
6,509.0,0.0,0.0,0.01221414345019557,[[0.00850385]],690.0,0.0,0.0,0.016557483262544092,[[0.00988612]],831.0,0.0,0.0,0.019940968972716147,[[0.01078171]],939.0,0.0,0.0,0.022532575048592615,[[0.01139329]]
7,516.0,0.0,0.0,0.012382117918076453,[[0.00868652]],701.0,0.0,0.0,0.01682144314064262,[[0.01009168]],844.0,0.0,0.0,0.0202529215559235,[[0.01099403]],945.0,0.0,0.0,0.022676553163919085,[[0.01156662]]
